gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,12/15/2014,2014
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/27/2014,2014
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,12/17/2013,2013
F,DOT,Department of Transportation,Transit Management Services,Fulltime-Regular,Manager III,10/11/1988,1988
F,LIB,Department of Public Libraries,Twinbrook Library,Parttime-Regular,Librarian I,02/04/2008,2008
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,09/20/2004,2004
F,POL,Department of Police,FSB Traffic Division Alcohol Initiatives Section,Fulltime-Regular,Police Sergeant,01/23/1995,1995
F,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer III,07/12/2010,2010
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/16/1989,1989
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Parttime-Regular,Therapist II,11/27/2006,2006
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,02/28/2000,2000
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011
M,CCL,County Council,Council Members and Staff,Fulltime-Regular,Confidential Aide,09/26/2011,2011
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,12/19/2011,2011
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Program Specialist I,10/16/1995,1995
M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Communications Equipment Technician II,10/28/2002,2002
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator III,04/04/2005,2005
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/16/2010,2010
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/30/2001,2001
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/10/1992,1992
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,07/30/2013,2013
M,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Assistant County Attorney III,08/20/2001,2001
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),01/27/2014,2014
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,03/14/1988,1988
F,DEP,Department of Environmental Protection,Watershed Restoration and Capital Projects,Fulltime-Regular,Planning Specialist III,11/23/2009,2009
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/16/2004,2004
F,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist I,10/19/2015,2015
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,08/12/2013,2013
F,HHS,Department of Health and Human Services,TB and Refugee Health,Fulltime-Regular,Community Health Nurse II,02/03/1986,1986
M,DOT,Department of Transportation,Sign and Marking Shop,Fulltime-Regular,Public Service Worker III,11/16/2015,2015
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,09/18/2006,2006
F,ZAH,Office of Zoning and Administrative Hearings,Zoning and Administrative Hearings,Fulltime-Regular,Office Services Coordinator,01/03/2012,2012
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Principal Administrative Aide,02/15/1989,1989
M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Refuse Disposal Cashier,02/16/1993,1993
M,POL,Department of Police,PSB 4th District Special Assignment Team,Fulltime-Regular,Police Officer II,01/28/2013,2013
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/10/1992,1992
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer II,09/04/2007,2007
M,DGS,Department of General Services,Property Management,Fulltime-Regular,Maintenance Renovation and Inspection Specialist,10/07/2002,2002
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,10/31/2016,2016
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Captain,11/16/1992,1992
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/21/2011,2011
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader IV,08/21/1989,1989
F,DLC,Department of Liquor Control,Walnut Hill,Fulltime-Regular,Liquor Store Assistant Manager,11/24/1999,1999
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,02/28/2000,2000
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),05/29/2001,2001
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),04/07/1986,1986
F,PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist I,06/29/2015,2015
M,DTS,Department of Technology Services,Franchise Enforcement,Fulltime-Regular,Permitting and Code Enforcement Inspector II,08/30/2010,2010
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,07/05/2011,2011
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,09/02/2008,2008
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/09/2004,2004
M,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Manager II,11/16/2015,2015
M,FRS,Fire and Rescue Services,Station 13,Fulltime-Regular,Firefighter/Rescuer III,08/16/1999,1999
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/30/2015,2015
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service and Maintenance Team Supv,11/22/1993,1993
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Operations Supervisor,08/02/1993,1993
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Warehouse Worker,10/31/1999,1999
M,FRS,Fire and Rescue Services,Recruiting,Fulltime-Regular,Fire/Rescue Captain,08/14/1989,1989
F,SHF,Sheriff's Office,Warrant Section,Fulltime-Regular,Principal Administrative Aide,04/30/1990,1990
F,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Senior Information Technology Specialist,04/06/1998,1998
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,03/29/1999,1999
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,07/23/2007,2007
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,08/14/1989,1989
M,DPS,Department of Permitting Services,Land Development Right-of-Way Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector II,11/24/2008,2008
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),06/25/2007,2007
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/19/2011,2011
F,LIB,Department of Public Libraries,Aspen Hill Library,Parttime-Regular,Library Associate,01/27/1992,1992
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,09/27/1995,1995
F,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,02/26/1990,1990
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015
M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Specialist III,05/31/2016,2016
F,DOT,Department of Transportation,Transit Commuter Services Trips,Fulltime-Regular,Principal Administrative Aide,01/03/2012,2012
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014
M,FRS,Fire and Rescue Services,Third Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/04/2001,2001
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),03/18/1996,1996
F,LIB,Department of Public Libraries,Business Office,Fulltime-Regular,Office Services Coordinator,04/27/1998,1998
F,DLC,Department of Liquor Control,Milestone,Parttime-Regular,Liquor Store Clerk I,11/19/2012,2012
M,POL,Department of Police,ISB Major Crimes Division,Fulltime-Regular,Police Captain,08/19/1996,1996
F,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,07/15/2013,2013
F,HHS,Department of Health and Human Services,Public Health Emergency Preparedness and Response Program,Fulltime-Regular,Office Services Coordinator,09/12/1988,1988
M,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Manager I,05/20/2013,2013
M,DPS,Department of Permitting Services,Fire Protection,Fulltime-Regular,Permitting and Code Enforcement Inspector III,01/03/2012,2012
F,DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,03/11/1998,1998
F,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,02/05/2007,2007
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/16/2016,2016
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer II,06/04/2012,2012
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,HVAC Mechanic I,01/06/2003,2003
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,07/22/2002,2002
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Transit Coordinator,10/26/1998,1998
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
M,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,08/22/2016,2016
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,12/02/2014,2014
F,POL,Department of Police,MSB Policy and Planning Division,Fulltime-Regular,Police Officer III,07/17/2000,2000
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),09/02/2008,2008
M,FRS,Fire and Rescue Services,Special Operations,Fulltime-Regular,Fire/Rescue Battalion Chief,06/13/1988,1988
M,POL,Department of Police,ISB Criminal Investigations Division 2nd District Investigative Section,Fulltime-Regular,Police Officer III,02/06/1995,1995
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,10/31/2016,2016
M,FRS,Fire and Rescue Services,Station 28,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Administrative Specialist III,08/01/1991,1991
M,COR,Correction and Rehabilitation,"MSD Employee Health, Welfare and Safety",Fulltime-Regular,Administrative Specialist III,06/11/1995,1995
M,CAT,County Attorney's Office,"Zoning, Land Use and Economic Development",Fulltime-Regular,Assistant County Attorney III,06/25/1990,1990
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),02/08/2016,2016
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Master Firefighter/Rescuer,02/10/1986,1986
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005
F,COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,Fulltime-Regular,Correctional Specialist II,03/04/1996,1996
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,11/01/1993,1993
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer II,05/16/2005,2005
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,06/17/2013,2013
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,06/11/2007,2007
M,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Urban District Public Service Aide,05/07/2012,2012
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,11/08/1999,1999
M,HHS,Department of Health and Human Services,Information Systems and Technology,Fulltime-Regular,Manager II,06/17/2002,2002
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Intergovernmental Relations Legislative Analyst,02/22/2016,2016
M,CCL,County Council,Council Central Staff,Fulltime-Regular,Principal Administrative Aide,10/23/1985,1985
M,OCP,Office of Consumer Protection,Director,Fulltime-Regular,Director Office of Consumer Protection,06/30/1980,1980
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,01/03/1994,1994
M,FRS,Fire and Rescue Services,Operations Division,Fulltime-Regular,Fire/Rescue Battalion Chief,07/01/1985,1985
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014
F,LIB,Department of Public Libraries,Aspen Hill Library,Fulltime-Regular,Library Assistant I,12/21/1998,1998
F,HHS,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Therapist II,11/18/2002,2002
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013
M,FRS,Fire and Rescue Services,Station 40,Fulltime-Regular,Fire/Rescue Captain,09/04/2001,2001
M,POL,Department of Police,ISB Family Crimes Division Family Outreach Section,Fulltime-Regular,Police Sergeant,01/18/1994,1994
F,POL,Department of Police,MSB Management and Budget Division Abandoned Vehicle Section,Fulltime-Regular,Master Police Officer,07/21/2003,2003
F,CCL,County Council,Council Central Staff,Parttime-Regular,Principal Administrative Aide,09/10/1990,1990
M,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Printing Technician III,10/06/2003,2003
F,COR,Correction and Rehabilitation,MSD Management Services Division,Fulltime-Regular,Office Services Coordinator,08/14/2001,2001
F,CAT,County Attorney's Office,Human Resources and Appeals,Fulltime-Regular,Assistant County Attorney II,07/25/2016,2016
F,HHS,Department of Health and Human Services,Service Coordination and Individual Support Services,Fulltime-Regular,Program Specialist II,03/21/2016,2016
F,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),04/28/2015,2015
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Therapist II,09/05/2000,2000
F,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Revenue Counter,09/17/2007,2007
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Senior Supply Technician,07/17/2012,2012
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Services Assistant,01/14/2002,2002
F,OHR,Office of Human Resources,Health and Employee Welfare Division,Fulltime-Regular,Manager II,06/19/2000,2000
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Master Firefighter/Rescuer,02/20/2001,2001
F,HHS,Department of Health and Human Services,Rental Assistance,Fulltime-Regular,Accountant/Auditor I,03/20/2006,2006
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
F,LIB,Department of Public Libraries,Marilyn J Praisner Library,Parttime-Regular,Library Desk Assistant,11/03/2013,2013
M,DOT,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,02/14/2005,2005
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),12/16/2013,2013
M,POL,Department of Police,FSB Special Operations Division Canine Section,Fulltime-Regular,Police Sergeant,01/18/1994,1994
F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Office Services Coordinator,04/08/2013,2013
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,02/08/2016,2016
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,02/11/2002,2002
F,HHS,Department of Health and Human Services,Disease Control - Immunization,Fulltime-Regular,Community Services Aide III,09/17/2007,2007
F,FRS,Fire and Rescue Services,Procurement,Fulltime-Regular,Office Services Coordinator,06/16/1986,1986
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Equipment Maintenance Crew Chief,06/30/2014,2014
F,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Lieutenant,07/07/1989,1989
F,HHS,Department of Health and Human Services,School Health Services Center,Fulltime-Regular,School Health Room Technician I,12/08/1997,1997
F,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,09/11/2000,2000
M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,02/20/2001,2001
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/02/2000,2000
F,DPS,Department of Permitting Services,Customer Outreach and Education,Fulltime-Regular,Community Outreach Manager,08/27/1990,1990
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Manager III,04/11/1988,1988
F,DLC,Department of Liquor Control,Downtown Rockville,Fulltime-Regular,Liquor Store Assistant Manager,01/09/2006,2006
F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,04/02/2001,2001
F,LIB,Department of Public Libraries,Aspen Hill Library,Parttime-Regular,Librarian I,02/20/2008,2008
M,CUS,Community Use of Public Facilities,Finance and Administrative Support Team,Fulltime-Regular,Fiscal Assistant,08/31/1987,1987
M,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,03/03/2003,2003
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Animal Care Attendant Supervisor,12/30/2013,2013
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,08/01/2011,2011
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Principal Administrative Aide,07/14/2014,2014
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Services Coordinator,09/15/2008,2008
F,DOT,Department of Transportation,Parking Management Parking Operations,Fulltime-Regular,Revenue Counter,05/16/2016,2016
M,POL,Department of Police,ISB Major Crimes Division,Fulltime-Regular,Police Lieutenant,05/23/1989,1989
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/05/2006,2006
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013
M,FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Master Firefighter/Rescuer,02/06/1995,1995
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,06/11/2001,2001
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer II (PFC),06/17/2001,2001
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/08/2007,2007
F,REC,Department of Recreation,Youth Development Youth Services,Fulltime-Regular,Recreation Specialist,11/28/2016,2016
M,DLC,Department of Liquor Control,King Farm,Fulltime-Regular,Liquor Store Clerk II,08/31/2008,2008
M,DPS,Department of Permitting Services,Land Development Sediment Stormwater Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,02/22/1988,1988
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/10/2001,2001
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist III,07/06/2010,2010
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Supply Technician II,07/28/2014,2014
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,06/15/1992,1992
F,LIB,Department of Public Libraries,Public Service Administration,Fulltime-Regular,Manager II,09/29/1986,1986
M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Principal Administrative Aide,04/22/2013,2013
M,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Senior Information Technology Specialist,12/13/1999,1999
M,CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist II,07/04/1999,1999
M,DTS,Department of Technology Services,Enterprise Applications and Solutions,Fulltime-Regular,Manager II,06/10/2002,2002
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Sergeant,01/18/2005,2005
F,REC,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Specialist,07/01/2005,2005
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,03/05/2001,2001
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,08/31/1998,1998
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Client Assistance Specialist,06/15/2015,2015
F,HHS,Department of Health and Human Services,Health Care and Group Residential Services,Fulltime-Regular,Program Manager II,10/11/1977,1977
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Planning Specialist III,04/08/2013,2013
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Assistant Chief,05/07/1984,1984
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Program Specialist I,08/26/2013,2013
M,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,05/22/2011,2011
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Office Services Coordinator,09/08/2014,2014
F,POL,Department of Police,HQ Office of the Chief,Fulltime-Regular,Master Police Officer,07/16/2007,2007
M,HHS,Department of Health and Human Services,Adult Drug Court,Fulltime-Regular,Manager III,02/23/2004,2004
F,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,02/11/2013,2013
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
F,DLC,Department of Liquor Control,Cabin John,Fulltime-Regular,Liquor Store Assistant Manager,09/07/2004,2004
M,COR,Correction and Rehabilitation,DS MCDC Central Processing Unit,Fulltime-Regular,Correctional Officer II (PFC),02/19/2002,2002
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,12/03/2012,2012
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,02/24/2014,2014
F,DPS,Department of Permitting Services,Customer Service & Outreach,Fulltime-Regular,Permit Technician II,03/07/1988,1988
M,DLC,Department of Liquor Control,King Farm,Fulltime-Regular,Liquor Store Assistant Manager,06/08/2008,2008
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,10/04/2004,2004
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,07/14/2008,2008
M,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,12/17/2012,2012
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,08/11/2008,2008
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Technician,08/27/1990,1990
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/08/2005,2005
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Motor Pool Attendant,06/09/2002,2002
F,DLC,Department of Liquor Control,Cabin John,Parttime-Regular,Liquor Store Clerk I,11/09/2012,2012
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/17/2008,2008
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/23/2000,2000
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/20/2014,2014
F,HRC,Office of Human Rights,Compliance,Fulltime-Regular,Manager III,12/21/2009,2009
M,FRS,Fire and Rescue Services,Station 5,Fulltime-Regular,Fire/Rescue Captain,08/14/1989,1989
F,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,06/11/2007,2007
F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager II,05/21/1990,1990
F,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer I (Private),03/07/2016,2016
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Program Specialist II,02/19/1991,1991
M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Urban District Public Service Aide,03/02/2008,2008
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Master Firefighter/Rescuer,11/29/1999,1999
F,DGS,Department of General Services,Office of the Director,Fulltime-Regular,Senior Executive Administrative Aide,08/21/2006,2006
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/26/2012,2012
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,11/30/2015,2015
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/19/2000,2000
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,08/20/2000,2000
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,06/07/2012,2012
M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer III,11/28/1988,1988
M,SHF,Sheriff's Office,Attachments,Fulltime-Regular,Deputy Sheriff III,06/13/1994,1994
M,REC,Department of Recreation,Olney Indoor Pool,Fulltime-Regular,Recreation Specialist,12/12/2005,2005
F,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Manager III,05/02/2016,2016
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,03/27/2006,2006
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Executive Administrative Aide,04/05/2004,2004
